State Code,District Code,Sub-Distt,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,No of Households,Total Population - Persons,Total Population - Males,Total Population - Females,Population in the Age Group 0-6 - Persons,Population in the Age Group 0-6 - Males,Population in the Age Group 0-6 Females,Scheduled Castes Population - Persons,Scheduled Castes Population - Males,Scheduled Castes Population - Females,Scheduled Tribes Population - Persons,Scheduled Tribes Population - Males,Scheduled Tribes Population - Females,Literates Population - Persons,Literates Population - Males,Literates Population - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Total Worker Population - Persons,Total Worker Population - Males,Total Worker Population - Females,Main Worker Population - Persons,Main Worker Population - Males,Main Worker Population - Females,Main Cultivator Population - Persons,Main Cultivator Population - Males,Main Cultivator Population - Females,Main Agricultural Labourers Population - Persons,Main Agricultural Labourers Population - Males,Main Agricultural Labourers Population - Females,Main Household Industries Population - Persons,Main Household Industries Population - Males,Main Household Industries Population - Females,Main Other Workers Population - Persons,Main Other Workers Population - Males,Main Other Workers Population - Females,Marginal Worker Population - Persons,Marginal Worker Population - Males,Marginal Worker Population - Females,Marginal Cultivator Population - Persons,Marginal Cultivator Population - Males,Marginal Cultivator Population - Females,Marginal Agriculture Labourers Population - Persons,Marginal Agriculture Labourers Population - Males,Marginal Agriculture Labourers Population - Females,Marginal Household Industries Population - Persons,Marginal Household Industries Population - Males,Marginal Household Industries Population - Females,Marginal Other Workers Population - Persons,Marginal Other Workers Population - Males,Marginal Other Workers Population - Females,Non Worker Population - Persons,Non Worker Population - Males,Non Worker Population - Females
27,23,0000,42301000,629,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.629,Urban,37500,186086,104046,82040,20598,10804,9794,4994,2631,2363,1871,962,909,142465,84973,57492,43621,19073,24548,65224,56573,8651,61615,53975,7640,80,61,19,55,42,13,936,592,344,60544,53280,7264,3609,2598,1011,21,12,9,17,12,5,199,84,115,3372,2490,882,120862,47473,73389
27,23,0000,42301000,630,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.630,Urban,19132,95862,51113,44749,9053,4711,4342,8662,4451,4211,267,154,113,77711,43717,33994,18151,7396,10755,33536,27211,6325,31703,26063,5640,17,14,3,21,15,6,1365,979,386,30300,25055,5245,1833,1148,685,4,2,2,4,1,3,329,63,266,1496,1082,414,62326,23902,38424
27,23,0000,42301000,731,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.731,Urban,11523,50563,26530,24033,3101,1594,1507,761,415,346,104,64,40,45251,24055,21196,5312,2475,2837,19409,15102,4307,18949,14867,4082,25,18,7,3,1,2,513,361,152,18408,14487,3921,460,235,225,2,2,0,1,0,1,68,10,58,389,223,166,31154,11428,19726
27,23,0000,42301000,732,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.732,Urban,101051,473830,266229,207601,59789,31046,28743,23422,12270,11152,4506,2461,2045,347291,210871,136420,126539,55358,71181,172133,149330,22803,161101,141424,19677,163,103,60,119,84,35,3969,2926,1043,156850,138311,18539,11032,7906,3126,12,3,9,53,32,21,806,250,556,10161,7621,2540,301697,116899,184798
27,23,0000,42301000,835,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.835,Urban,15664,76326,42927,33399,7155,3690,3465,5448,2825,2623,436,245,191,61614,37036,24578,14712,5891,8821,30140,24806,5334,28485,23624,4861,22,10,12,28,19,9,860,468,392,27575,23127,4448,1655,1182,473,2,0,2,3,1,2,166,67,99,1484,1114,370,46186,18121,28065
27,23,0000,42301000,836,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.836,Urban,36291,175675,95302,80373,16609,8657,7952,13021,6828,6193,3941,2034,1907,142962,82628,60334,32713,12674,20039,63672,51282,12390,60496,49291,11205,80,58,22,28,19,9,1634,593,1041,58754,48621,10133,3176,1991,1185,9,5,4,8,5,3,362,71,291,2797,1910,887,112003,44020,67983
27,23,0000,42301000,837,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.837,Urban,23151,121713,73237,48476,11675,6039,5636,13525,6864,6661,325,202,123,95609,62098,33511,26104,11139,14965,50492,44569,5923,48549,43151,5398,63,47,16,27,25,2,1207,844,363,47252,42235,5017,1943,1418,525,10,5,5,0,0,0,200,46,154,1733,1367,366,71221,28668,42553
27,23,0000,42301000,838,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.838,Urban,17419,84217,48720,35497,9372,4826,4546,6130,3261,2869,236,130,106,62116,38795,23321,22101,9925,12176,33511,28875,4636,31691,27517,4174,36,29,7,16,9,7,835,688,147,30804,26791,4013,1820,1358,462,3,3,0,7,6,1,126,66,60,1684,1283,401,50706,19845,30861
27,23,0000,42301000,933,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.933,Urban,89542,442311,249548,192763,54107,27992,26115,44743,23425,21318,1894,1061,833,320819,193952,126867,121492,55596,65896,166509,142202,24307,155258,133691,21567,147,95,52,125,97,28,9763,8260,1503,145223,125239,19984,11251,8511,2740,14,8,6,56,50,6,1457,829,628,9724,7624,2100,275802,107346,168456
27,23,0000,42301000,934,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.934,Urban,18802,82087,41847,40240,6124,3181,2943,847,422,425,118,77,41,70372,36555,33817,11715,5292,6423,30425,22704,7721,28704,21541,7163,52,31,21,20,8,12,655,421,234,27977,21081,6896,1721,1163,558,4,3,1,14,4,10,112,38,74,1591,1118,473,51662,19143,32519
27,23,0000,42301000,935,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.935,Urban,12299,57609,30614,26995,5089,2635,2454,4369,2208,2161,117,56,61,46787,26196,20591,10822,4418,6404,21470,16871,4599,20548,16272,4276,9,6,3,12,6,6,651,441,210,19876,15819,4057,922,599,323,1,1,0,0,0,0,105,29,76,816,569,247,36139,13743,22396
